Sample Name,Substrate,Gas,Temperature,Type,Index,Average,Ra,RMS,Skew,Kurtosis
W6821-1C,XG,Vakuum,750,Topography,3,3.07131344862283e-08,5.611667922858213e-09,8.562591052840265e-09,2.0383740615219836,5.707196406155756
W6821-1C,XG,Vakuum,750,Topography,4,3.351356997760427e-08,5.610677028105561e-09,8.562320674629944e-09,2.0358042021814873,5.69037667767115
W6822-1C,XG,Vakuum,750,Topography,1,5.142371399926721e-08,1.443838377393137e-08,1.77914517560124e-08,1.0159565928444911,0.6381440373772884
W6822-1C,XG,Vakuum,750,Topography,2,4.8558057124829196e-08,1.4404434745334488e-08,1.774836964646179e-08,1.019657750788108,0.6371621405714727
W6822-1C,XG,Vakuum,750,Topography,3,4.8623037148424015e-08,1.3487200671811534e-08,1.6857369346866472e-08,1.1119783552212497,0.9032867633247617
W6822-1C,XG,Vakuum,750,Topography,4,4.857569312970754e-08,1.3470229712082122e-08,1.6849637637651226e-08,1.1168220761145211,0.9136874989085237
W6824-1C,XG,Vakuum,750,Topography,1,5.104316381887815e-08,1.2657035349162289e-08,1.5429036380062337e-08,0.8230727089617845,0.27402682069897955
W6824-1C,XG,Vakuum,750,Topography,2,4.925148516790787e-08,1.2639699916800207e-08,1.540937958698013e-08,0.8191764068286934,0.2566548416292518
W6824-1C,XG,Vakuum,750,Topography,3,5.006631183092859e-08,1.2572327193402992e-08,1.5333571887956533e-08,0.8398298758967903,0.1948882109061345
W6824-1C,XG,Vakuum,750,Topography,4,4.892262961082872e-08,1.2588147758778411e-08,1.535118227221258e-08,0.840480659284004,0.19767122369366152
W6821-1C,XG,Vakuum,pre,Topography,1,3.052998839344639e-08,1.2932898077198242e-08,1.5431780542377565e-08,0.7066574424632213,-0.4146194468971349
W6821-1C,XG,Vakuum,pre,Topography,2,2.9502259258876335e-08,1.2903683492301132e-08,1.5391034144124313e-08,0.7196132008725333,-0.40272335821426575
