t,R
854.858072999999,5490.05976
857.161939999998,5490.05461
859.476257999994,5490.07987
861.770268999994,5490.10876
864.063219999999,5490.15332
866.356096999995,5490.23575
868.648773999996,5490.33449
870.943302999996,5490.38438
873.241539999999,5490.38403
875.530130999997,5490.43689
877.823231999993,5490.50853
880.105347999997,5490.55285
882.409761,5490.52973
884.702557999998,5490.49199
887.007221999995,5490.47392
889.315071999997,5490.45365
891.615294999994,5490.55757
893.897534999996,5490.6519
896.180834999993,5490.79
898.463329999998,5490.8839
900.745414999999,5490.85214
903.049938999996,5490.89904
905.353318999998,5490.89392
907.658313999996,5490.94579
909.961756999999,5490.94385
912.266353,5490.98914
914.570149999999,5490.95066
916.873706999995,5490.94535
919.157099999994,5491.02083
921.428588999994,5491.07533
923.722015999995,5491.11058
926.030237999998,5491.21152
928.319011999994,5491.08157
930.60232,5491.14985
932.905503999993,5491.00237
935.209636999994,5490.94419
937.513976999998,5490.9788
939.818274999998,5491.11353
942.126779999994,5491.1616
944.425849999994,5491.11763
946.730452999994,5491.06929
949.03368,5491.10969
951.338096999995,5491.1469
953.641949999996,5491.19477
955.945106999993,5491.14861
958.243439999998,5491.2559
960.532425999999,5491.35591
962.836864,5491.34036
965.129564999998,5491.30563
967.413063999996,5491.10771
971.711212999999,5491.08568
974.004582999997,5491.12568
976.298059,5491.18426
978.602014999993,5491.37822
980.905298999995,5491.50876
983.210364999995,5491.68222
985.513974,5491.67589
987.817628999993,5491.72352
990.122298999995,5491.76646
992.424200999998,5491.69736
994.730436999999,5491.75952
997.033516999997,5491.74766
999.337723999999,5491.74666
1001.64208,5491.82903
1003.960895,5491.94264
1006.271146,5492.04287
1008.56471399999,5492.08743
1010.869061,5492.07245
1013.17252999999,5492.04971
1015.476467,5492.074
1017.791459,5492.08911
1020.07790899999,5492.12132
1022.377787,5492.11628
1024.671114,5492.05992
1026.964744,5491.89703
1029.24777,5491.77115
1031.550573,5491.80233
1033.855477,5491.99117
1036.17466599999,5492.06177
1038.47372099999,5492.16352
1040.756719,5492.26677
1043.060855,5492.46945
1047.35943499999,5492.44411
1049.65262899999,5492.37634
1051.95638,5492.29386
1054.270298,5492.3253
1056.543674,5492.26479
1058.850989,5492.29569
1061.14065,5492.43625
1063.423912,5492.54185
1065.717037,5492.52124
1068.020941,5492.46524
1070.334943,5492.51951
1072.60748199999,5492.63469
1074.905467,5492.61106
1077.183913,5492.59447
1079.486663,5492.50593
1081.780987,5492.38036
1084.08444,5492.31715
1086.388621,5492.29162
1088.692948,5492.24479
1091.006951,5492.24187
1093.31178799999,5492.30543
1095.615826,5492.43118
1097.908252,5492.43023
1100.21276,5492.42501
1102.516507,5492.47438
1104.820774,5492.46047
1107.129713,5492.40498
1109.42929899999,5492.53157
1111.73307,5492.50018
1114.036191,5492.50051
1116.340859,5492.58787
1118.644396,5492.62283
1120.948647,5492.61029
1123.255896,5492.67626
1125.556592,5492.59753
1127.860853,5492.64662
1130.164737,5492.71434
1132.468847,5492.86197
1134.772661,5492.81572
1137.076995,5492.7699
1139.364573,5492.66957
1141.673943,5492.68106
1143.956573,5492.68711
1146.26090499999,5492.71985
1148.557871,5492.71513
1152.84738999999,5492.81296
1155.15181299999,5492.76501
1157.47041599999,5492.84002
1159.78090899999,5492.83689
1162.074484,5492.87036
1164.388612,5492.77407
1166.68247899999,5492.81761
1168.975638,5492.71216
1171.268933,5492.70172
1173.565639,5492.81077
