t,R1,R2
36948.080548,NaN,NaN
36958.286841,NaN,NaN
36982.88341,NaN,NaN
36994.396743,NaN,NaN
37006.017536,NaN,NaN
37028.716641,NaN,NaN
37044.04933,NaN,NaN
37054.326679,NaN,NaN
37067.77665,NaN,NaN
37085.567343,NaN,NaN
37096.788309,NaN,NaN
37109.046681,NaN,NaN
37131.305353,NaN,NaN
37145.548219,NaN,NaN
37156.124526,NaN,NaN
37173.94063,NaN,NaN
37202.734262,NaN,NaN
37225.254102,NaN,NaN
37239.218858,4039.2691,1853.63867
37262.34197,4038.25088,1853.09776
37282.532157,NaN,NaN
37293.469997,4036.93866,1852.472
37305.277226,NaN,NaN
37314.724009,NaN,NaN
37328.683748,NaN,NaN
37347.784766,NaN,NaN
37367.625919,NaN,NaN
37383.862345,NaN,NaN
37399.124003,4031.92792,1850.21896
37430.120559,NaN,NaN
37464.733697,NaN,NaN
37513.348009,NaN,NaN
37575.654747,4024.1797,1846.46953
37596.805332,NaN,NaN
37622.401238,NaN,NaN
37640.30506,NaN,NaN
37655.501252,NaN,NaN
37690.710942,NaN,NaN
37724.427761,NaN,NaN
37740.003757,NaN,NaN
37754.018375,NaN,NaN
37776.117434,NaN,NaN
37801.255312,NaN,NaN
37865.660676,NaN,NaN
37886.239669,NaN,NaN
37906.915268,NaN,NaN
37939.771108,NaN,NaN
37976.96921,NaN,NaN
37994.352408,NaN,NaN
38015.172349,4004.72875,1837.44666
38037.88235,4003.95897,1837.02019
38060.237008,NaN,NaN
38123.546688,NaN,NaN
38138.427327,NaN,NaN
38160.26187,3998.40348,1834.45001
38180.949535,NaN,NaN
38205.494886,NaN,NaN
38242.845227,NaN,NaN
38257.267447,NaN,NaN
38278.266406,NaN,NaN
38319.593282,NaN,NaN
38345.986958,NaN,NaN
38367.315784,NaN,NaN
38397.167023,NaN,NaN
38423.085194,NaN,NaN
38467.228564,NaN,NaN
38487.912239,3984.19924,1827.76418
38509.510342,3983.39621,1827.35063
38539.998877,NaN,NaN
38571.692503,NaN,NaN
38613.242093,NaN,NaN
38632.079378,NaN,NaN
38651.174569,NaN,NaN
38680.300421,3976.20972,1823.96639
38703.100307,NaN,NaN
38748.401344,NaN,NaN
38769.784464,NaN,NaN
38799.571692,NaN,NaN
38815.227896,3970.25431,1821.28941
38845.103668,NaN,NaN
38887.532239,NaN,NaN
38910.586262,NaN,NaN
38936.695972,NaN,NaN
38957.389947,NaN,NaN
38974.785215,3963.45353,1818.24344
38998.382406,NaN,NaN
39023.254313,NaN,NaN
39038.01348,NaN,NaN
39063.950749,NaN,NaN
39107.030544,NaN,NaN
39136.226604,NaN,NaN
39162.714893,NaN,NaN
39177.947859,NaN,NaN
39192.913598,3954.32505,1813.95934
39245.534397,NaN,NaN
39278.869158,NaN,NaN
39343.027085,NaN,NaN
39364.278261,NaN,NaN
39386.261241,NaN,NaN
39414.512931,3945.15972,1809.6166
39437.634085,NaN,NaN
39461.283552,NaN,NaN
39519.210131,NaN,NaN
39543.19137,NaN,NaN
39562.007992,NaN,NaN
39582.452608,NaN,NaN
39611.620493,NaN,NaN
39641.124349,NaN,NaN
39697.813651,NaN,NaN
39740.168994,NaN,NaN
39758.555357,NaN,NaN
39780.540918,NaN,NaN
39809.351683,NaN,NaN
39841.835265,3927.23645,1801.42592
39891.639418,NaN,NaN
39943.506154,NaN,NaN
39976.843094,NaN,NaN
39998.987685,NaN,NaN
40037.843713,NaN,NaN
40070.389226,NaN,NaN
40092.54815,NaN,NaN
40110.647443,NaN,NaN
40138.762079,NaN,NaN
40169.664836,NaN,NaN
40207.439539,NaN,NaN
40220.673085,NaN,NaN
40237.738601,NaN,NaN
40262.210923,NaN,NaN
40293.360689,NaN,NaN
40321.108892,NaN,NaN
40373.90663,NaN,NaN
40388.016292,NaN,NaN
40404.055382,NaN,NaN
40435.420454,NaN,NaN
40460.564121,NaN,NaN
40520.86572,NaN,NaN
40546.32788,NaN,NaN
40560.828384,NaN,NaN
40577.835431,3897.30724,1787.79031
40613.800074,NaN,NaN
40680.977205,NaN,NaN
40713.093122,NaN,NaN
40738.2448,NaN,NaN
40764.27888,NaN,NaN
40800.363883,NaN,NaN
40822.725783,NaN,NaN
40838.674507,NaN,NaN
40884.412597,NaN,NaN
40931.465671,NaN,NaN
40953.576618,NaN,NaN
40975.85587,3881.47651,1780.75364
41006.071589,NaN,NaN
41033.08209,NaN,NaN
41045.872873,NaN,NaN
41059.666097,NaN,NaN
41081.944996,NaN,NaN
41112.221228,NaN,NaN
41131.769724,NaN,NaN
41148.558148,NaN,NaN
41196.290703,NaN,NaN
41267.833318,NaN,NaN
41282.97688,NaN,NaN
41309.363746,NaN,NaN
41323.688893,NaN,NaN
41353.06427,3866.73283,1774.00539
41379.12656,NaN,NaN
41419.168639,NaN,NaN
41470.304505,NaN,NaN
41488.805733,NaN,NaN
41507.872153,NaN,NaN
41528.262476,NaN,NaN
41565.272789,3858.43106,1770.2909
41584.886478,NaN,NaN
41634.344675,3852.99356,1767.90587
41725.319944,NaN,NaN
41754.838255,3851.03912,1767.05215
41769.43885,NaN,NaN
41791.771271,NaN,NaN
41819.469604,3848.38726,1765.93756
41857.342651,NaN,NaN
41935.885922,NaN,NaN
41970.444895,NaN,NaN
41995.675401,NaN,NaN
42024.549147,3840.59942,1762.42765
42057.945688,NaN,NaN
42105.416003,NaN,NaN
42128.929906,NaN,NaN
42147.225778,3835.9563,1760.38605
42170.915562,NaN,NaN
42196.362779,NaN,NaN
42222.820641,NaN,NaN
42264.859138,NaN,NaN
42293.009909,NaN,NaN
42320.598127,NaN,NaN
42363.765789,3827.9044,1756.73709
42389.277721,NaN,NaN
42430.378782,NaN,NaN
42459.317842,NaN,NaN
42490.57079,NaN,NaN
42508.788928,3822.28588,1754.35473
42524.32343,NaN,NaN
42568.170476,NaN,NaN
42590.755052,NaN,NaN
42664.134802,NaN,NaN
42712.859988,NaN,NaN
42735.104609,NaN,NaN
42758.041961,NaN,NaN
42793.149054,NaN,NaN
42829.283207,NaN,NaN
42890.881756,NaN,NaN
42914.063365,NaN,NaN
42930.293134,NaN,NaN
42951.440083,3805.83845,1747.04956
42973.219157,NaN,NaN
42997.76749,NaN,NaN
43051.891082,3802.04502,1745.42097
43072.146874,NaN,NaN
43097.338558,NaN,NaN
43121.855978,3799.39841,1744.26784
43145.463326,NaN,NaN
43174.86025,NaN,NaN
43191.582568,NaN,NaN
43220.313174,NaN,NaN
43253.287634,NaN,NaN
43275.029476,NaN,NaN
43330.654608,NaN,NaN
43390.934716,3789.51569,1740.02841
43421.937111,NaN,NaN
43449.471896,NaN,NaN
43479.433405,NaN,NaN
43505.59694,NaN,NaN
43568.601636,NaN,NaN
43624.213397,NaN,NaN
43642.889967,NaN,NaN
43677.715214,NaN,NaN
43695.384008,NaN,NaN
43717.480275,3777.66459,1734.90617
43749.381713,NaN,NaN
43795.009308,3774.57569,1733.56877
43822.951531,NaN,NaN
43840.554834,NaN,NaN
43859.046555,NaN,NaN
43907.408408,NaN,NaN
43935.455425,NaN,NaN
43999.225229,NaN,NaN
44051.886471,NaN,NaN
44066.99974,NaN,NaN
44111.267629,NaN,NaN
44129.530185,NaN,NaN
44163.990208,NaN,NaN
44207.382341,NaN,NaN
44297.443502,NaN,NaN
44322.479081,NaN,NaN
44343.295801,NaN,NaN
44372.98004,NaN,NaN
44410.799747,NaN,NaN
44457.657221,NaN,NaN
44483.424464,NaN,NaN
44507.211158,NaN,NaN
44533.247469,NaN,NaN
44560.319449,NaN,NaN
44610.531148,3745.55128,1721.3065
44625.036641,3745.14208,1721.11953
44642.675227,NaN,NaN
44662.932604,NaN,NaN
44696.484141,NaN,NaN
44730.514846,3741.25274,1719.49764
44766.140976,NaN,NaN
44842.724613,NaN,NaN
44865.726903,NaN,NaN
44878.894443,3736.01592,1717.30924
44910.877123,NaN,NaN
44930.29213,3734.12783,1716.5266
44952.480466,NaN,NaN
45025.221771,NaN,NaN
45054.189644,NaN,NaN
45069.440953,NaN,NaN
45098.395417,NaN,NaN
45130.004211,3727.40152,1713.78877
45157.228583,NaN,NaN
45223.777423,NaN,NaN
45247.986845,NaN,NaN
45270.158165,NaN,NaN
45287.117697,NaN,NaN
45319.134103,3720.74741,1711.08491
45353.113659,NaN,NaN
45362.937899,NaN,NaN
45385.528278,NaN,NaN
45409.015412,NaN,NaN
45445.666467,NaN,NaN
45463.283753,NaN,NaN
45499.630713,NaN,NaN
45593.844187,NaN,NaN
45615.561329,NaN,NaN
45636.213328,NaN,NaN
45659.839371,NaN,NaN
45693.704308,NaN,NaN
45714.751641,3707.22226,1705.48301
45734.827663,NaN,NaN
45777.354563,NaN,NaN
45895.249706,NaN,NaN
45923.055439,NaN,NaN
45965.482733,NaN,NaN
45991.260748,NaN,NaN
46031.462312,NaN,NaN
46106.72593,NaN,NaN
46143.090433,NaN,NaN
46172.251415,3691.58167,1699.26326
46189.120632,NaN,NaN
46221.845121,3689.9831,1698.59697
46249.444304,NaN,NaN
46316.00755,NaN,NaN
46336.032541,3686.17615,1697.04654
46358.378461,NaN,NaN
46380.679247,3684.4674,1696.40741
46408.861376,NaN,NaN
46432.224619,NaN,NaN
46464.583699,NaN,NaN
46492.894983,NaN,NaN
46517.700575,NaN,NaN
46550.273579,NaN,NaN
46573.881024,3678.19326,1693.83504
46594.555345,NaN,NaN
46633.145656,NaN,NaN
46675.79672,NaN,NaN
46697.999212,NaN,NaN
46717.896997,NaN,NaN
46753.52869,3671.91567,1691.40313
46782.167641,NaN,NaN
46809.313231,3670.18924,1690.64646
46841.607879,NaN,NaN
46931.272552,NaN,NaN
46955.125317,NaN,NaN
46982.150373,NaN,NaN
47004.661809,NaN,NaN
47026.402487,NaN,NaN
47065.200916,NaN,NaN
47089.967356,NaN,NaN
47193.947517,NaN,NaN
47234.564445,NaN,NaN
47276.194596,NaN,NaN
47300.089154,3653.99134,1684.51114
47336.950707,3652.97398,1684.07466
47379.930357,NaN,NaN
47418.369556,NaN,NaN
47436.628733,NaN,NaN
47452.183066,NaN,NaN
47475.771065,NaN,NaN
47511.053894,NaN,NaN
47546.937197,3646.16488,1681.53556
47576.153517,NaN,NaN
47700.358059,3641.10321,1679.57094
47742.866052,NaN,NaN
47772.04413,NaN,NaN
47802.209352,NaN,NaN
47827.236155,NaN,NaN
47862.013605,NaN,NaN
47897.67519,NaN,NaN
47923.6884,NaN,NaN
47945.124769,NaN,NaN
47968.402262,NaN,NaN
48078.274079,NaN,NaN
48115.676881,NaN,NaN
48161.789156,NaN,NaN
48198.587629,3625.11365,1673.49375
48243.065397,NaN,NaN
48383.720325,3619.44876,1671.39579
48414.324137,NaN,NaN
48439.284275,NaN,NaN
48467.576851,NaN,NaN
48503.593793,NaN,NaN
48529.696644,NaN,NaN
48610.754459,NaN,NaN
48642.34148,NaN,NaN
48663.577971,NaN,NaN
48684.457871,NaN,NaN
48709.904494,NaN,NaN
48743.110335,NaN,NaN
48789.077222,3606.68211,1666.73092
48812.452484,NaN,NaN
48831.317802,NaN,NaN
48877.968981,NaN,NaN
48906.402392,NaN,NaN
48975.00158,NaN,NaN
49004.638228,NaN,NaN
49024.176362,NaN,NaN
49042.672888,NaN,NaN
49084.444781,NaN,NaN
49114.986111,NaN,NaN
49158.512358,NaN,NaN
49232.062033,NaN,NaN
49264.368113,NaN,NaN
49290.055957,NaN,NaN
49337.381948,NaN,NaN
49362.912466,3588.95737,1660.33749
49388.680994,NaN,NaN
49473.375805,3585.52687,1659.14164
49498.593418,3584.76763,1658.89035
49526.187556,NaN,NaN
49555.85562,NaN,NaN
49577.149676,3582.43687,1658.07011
49596.331744,3581.79314,1657.87122
49617.862472,NaN,NaN
49660.964432,NaN,NaN
49703.429771,NaN,NaN
49735.555229,NaN,NaN
